id,code,province,district,township
l10n_pa_edi_location_5_2_1,5-2-1,DARIEN,PINOGANA,EL REAL DE SANTA MARIA (CABECE
l10n_pa_edi_location_5_2_2,5-2-2,DARIEN,PINOGANA,BOCA DE CUPE
l10n_pa_edi_location_5_2_3,5-2-3,DARIEN,PINOGANA,PAYA
l10n_pa_edi_location_5_2_4,5-2-4,DARIEN,PINOGANA,PINOGANA
l10n_pa_edi_location_5_2_5,5-2-5,DARIEN,PINOGANA,PUCURO
l10n_pa_edi_location_5_2_6,5-2-6,DARIEN,PINOGANA,YAPE
l10n_pa_edi_location_5_2_7,5-2-7,DARIEN,PINOGANA,YAVIZA
l10n_pa_edi_location_5_2_8,5-2-8,DARIEN,PINOGANA,METETI
l10n_pa_edi_location_5_2_9,5-2-9,DARIEN,PINOGANA,COMARCA KUNA DE WARGANDI
l10n_pa_edi_location_6_1_1,6-1-1,HERRERA,CHITRE,CHITRE (CABECERA)
l10n_pa_edi_location_6_1_2,6-1-2,HERRERA,CHITRE,LA ARENA
l10n_pa_edi_location_6_1_3,6-1-3,HERRERA,CHITRE,MONAGRILLO
l10n_pa_edi_location_6_1_4,6-1-4,HERRERA,CHITRE,LLANO BONITO
l10n_pa_edi_location_6_1_5,6-1-5,HERRERA,CHITRE,SAN JUAN BAUTISTA
l10n_pa_edi_location_6_2_1,6-2-1,HERRERA,LAS MINAS,LAS MINAS (CABECERA)
l10n_pa_edi_location_6_2_2,6-2-2,HERRERA,LAS MINAS,CHEPO
l10n_pa_edi_location_6_2_3,6-2-3,HERRERA,LAS MINAS,CHUMICAL
l10n_pa_edi_location_6_2_4,6-2-4,HERRERA,LAS MINAS,EL TORO
l10n_pa_edi_location_6_2_5,6-2-5,HERRERA,LAS MINAS,LEONES
l10n_pa_edi_location_6_2_6,6-2-6,HERRERA,LAS MINAS,QUEBRADA DEL ROSARIO
l10n_pa_edi_location_6_2_7,6-2-7,HERRERA,LAS MINAS,QUEBRADA EL CIPRIAN
l10n_pa_edi_location_6_3_1,6-3-1,HERRERA,LOS POZOS,LOS POZOS (CABECERA)
l10n_pa_edi_location_6_3_2,6-3-2,HERRERA,LOS POZOS,CAPURI
l10n_pa_edi_location_6_3_3,6-3-3,HERRERA,LOS POZOS,EL CALABACITO
l10n_pa_edi_location_6_3_4,6-3-4,HERRERA,LOS POZOS,EL CEDRO
l10n_pa_edi_location_6_3_5,6-3-5,HERRERA,LOS POZOS,LA ARENA
l10n_pa_edi_location_6_3_6,6-3-6,HERRERA,LOS POZOS,LA PITALOSA
l10n_pa_edi_location_6_3_7,6-3-7,HERRERA,LOS POZOS,LOS CERRITOS
l10n_pa_edi_location_6_3_8,6-3-8,HERRERA,LOS POZOS,LOS CERROS DE PAJA
l10n_pa_edi_location_6_3_9,6-3-9,HERRERA,LOS POZOS,LAS LLANAS
l10n_pa_edi_location_6_4_1,6-4-1,HERRERA,OCU,OCU (CABECERA)
l10n_pa_edi_location_6_4_2,6-4-2,HERRERA,OCU,CERRO LARGO
l10n_pa_edi_location_6_4_3,6-4-3,HERRERA,OCU,LOS LLANOS
l10n_pa_edi_location_6_4_4,6-4-4,HERRERA,OCU,LLANO GRANDE
l10n_pa_edi_location_6_4_5,6-4-5,HERRERA,OCU,PEÑAS CHATAS
l10n_pa_edi_location_6_4_6,6-4-6,HERRERA,OCU,EL TIJERA
l10n_pa_edi_location_6_4_7,6-4-7,HERRERA,OCU,MENCHACA
l10n_pa_edi_location_6_5_1,6-5-1,HERRERA,PARITA,PARITA (CABECERA)
l10n_pa_edi_location_6_5_2,6-5-2,HERRERA,PARITA,CABUYA
l10n_pa_edi_location_6_5_3,6-5-3,HERRERA,PARITA,LOS CASTILLOS
l10n_pa_edi_location_6_5_4,6-5-4,HERRERA,PARITA,LLANO DE LA CRUZ
l10n_pa_edi_location_6_5_5,6-5-5,HERRERA,PARITA,PARIS
l10n_pa_edi_location_6_5_6,6-5-6,HERRERA,PARITA,PORTOBELILLO
l10n_pa_edi_location_6_5_7,6-5-7,HERRERA,PARITA,POTUGA
l10n_pa_edi_location_6_6_1,6-6-1,HERRERA,PESE,PESE (CABECERA)
l10n_pa_edi_location_6_6_2,6-6-2,HERRERA,PESE,LAS CABRAS
l10n_pa_edi_location_6_6_3,6-6-3,HERRERA,PESE,EL PAJARO
l10n_pa_edi_location_6_6_4,6-6-4,HERRERA,PESE,EL BARRERO
l10n_pa_edi_location_6_6_5,6-6-5,HERRERA,PESE,EL PEDREGOSO
l10n_pa_edi_location_6_6_6,6-6-6,HERRERA,PESE,EL CIRUELO
l10n_pa_edi_location_6_6_7,6-6-7,HERRERA,PESE,SABANAGRANDE
l10n_pa_edi_location_6_6_8,6-6-8,HERRERA,PESE,RINCON HONDO
l10n_pa_edi_location_6_7_1,6-7-1,HERRERA,SANTA MARIA,SANTA MARIA (CABECERA)
l10n_pa_edi_location_6_7_2,6-7-2,HERRERA,SANTA MARIA,CHUPAMPA
l10n_pa_edi_location_6_7_3,6-7-3,HERRERA,SANTA MARIA,EL RINCON
l10n_pa_edi_location_6_7_4,6-7-4,HERRERA,SANTA MARIA,EL LIMON
l10n_pa_edi_location_6_7_5,6-7-5,HERRERA,SANTA MARIA,LOS CANELOS
l10n_pa_edi_location_7_1_1,7-1-1,LOS SANTOS,GUARARE,GUARARE (CABECERA)
l10n_pa_edi_location_7_1_2,7-1-2,LOS SANTOS,GUARARE,EL ESPINAL
l10n_pa_edi_location_7_1_3,7-1-3,LOS SANTOS,GUARARE,EL MACANO
l10n_pa_edi_location_7_1_4,7-1-4,LOS SANTOS,GUARARE,GUARARE ARRIBA
l10n_pa_edi_location_7_1_5,7-1-5,LOS SANTOS,GUARARE,LA ENEA
l10n_pa_edi_location_7_1_6,7-1-6,LOS SANTOS,GUARARE,LA PASERA
l10n_pa_edi_location_7_1_7,7-1-7,LOS SANTOS,GUARARE,LAS TRANCAS
l10n_pa_edi_location_7_1_8,7-1-8,LOS SANTOS,GUARARE,LLANO ABAJO
l10n_pa_edi_location_7_1_9,7-1-9,LOS SANTOS,GUARARE,EL HATO
l10n_pa_edi_location_7_1_10,7-1-10,LOS SANTOS,GUARARE,PERALES
l10n_pa_edi_location_7_2_1,7-2-1,LOS SANTOS,LAS TABLAS,LAS TABLAS (CABECERA)
l10n_pa_edi_location_7_2_2,7-2-2,LOS SANTOS,LAS TABLAS,BAJO CORRAL
l10n_pa_edi_location_7_2_3,7-2-3,LOS SANTOS,LAS TABLAS,BAYANO
l10n_pa_edi_location_7_2_4,7-2-4,LOS SANTOS,LAS TABLAS,EL CARATE
l10n_pa_edi_location_7_2_5,7-2-5,LOS SANTOS,LAS TABLAS,EL COCAL
l10n_pa_edi_location_7_2_6,7-2-6,LOS SANTOS,LAS TABLAS,EL MANANTIAL
l10n_pa_edi_location_7_2_7,7-2-7,LOS SANTOS,LAS TABLAS,EL MUÑOZ
l10n_pa_edi_location_7_2_8,7-2-8,LOS SANTOS,LAS TABLAS,EL PEDREGOSO
l10n_pa_edi_location_7_2_9,7-2-9,LOS SANTOS,LAS TABLAS,LA LAJA
l10n_pa_edi_location_7_2_10,7-2-10,LOS SANTOS,LAS TABLAS,LA MIEL
l10n_pa_edi_location_7_2_11,7-2-11,LOS SANTOS,LAS TABLAS,LA PALMA
l10n_pa_edi_location_7_2_12,7-2-12,LOS SANTOS,LAS TABLAS,LA TIZA
l10n_pa_edi_location_7_2_13,7-2-13,LOS SANTOS,LAS TABLAS,LAS PALMITAS
l10n_pa_edi_location_7_2_14,7-2-14,LOS SANTOS,LAS TABLAS,LAS TABLAS ABAJO
